famRank,family,famFreq,word,PoS,freq,ratio,categ,domain
42,perform,57723,performance,n,36344,1.96,y,
42,perform,57723,perform,v,21379,1.66,y,
42,perform,57723,performer,n,2329,1.07,r,Hum
42,perform,57723,performing,n,1007,1.09,r,Hum
43,human,55105,human,j,54672,1.74,y,
43,human,55105,human,n,10375,1.49,x,
43,human,55105,humanity,n,4096,1.58,r,Rel
43,human,55105,humanist,n,730,2.79,r,Rel
43,human,55105,humanist,j,721,2.95,r,Rel
43,human,55105,humanism,n,629,2.80,r,Rel
43,human,55105,humanistic,j,433,2.52,y,
43,human,55105,inhuman,j,180,0.94,x,
43,human,55105,humanly,r,177,1.29,r,Rel
43,human,55105,humanness,n,85,2.02,x,
43,human,55105,inhumanity,n,85,1.27,r,Rel
44,particular,53815,particularly,r,23286,1.51,y,
44,particular,53815,particular,j,23040,1.78,y,
44,particular,53815,particular,r,7489,1.82,y,
44,particular,53815,particularity,n,460,2.89,r,Rel
44,particular,53815,particulars,n,433,1.38,x,
44,particular,53815,particularism,n,115,2.82,x,
44,particular,53815,particularistic,j,98,3.33,x,
44,particular,53815,particularize,v,50,2.61,r,Hum
44,particular,53815,particularized,j,47,2.79,r,Hum
45,suggest,53787,suggest,v,52412,1.84,y,
45,suggest,53787,suggestion,n,5895,1.45,x,
45,suggest,53787,suggestive,j,741,1.83,y,
45,suggest,53787,suggested,j,634,1.61,y,
45,suggest,53787,suggestively,r,33,0.73,r,Hum
45,suggest,53787,suggestiveness,n,19,1.55,r,Hum
45,suggest,53787,suggestible,j,17,1.10,r,Rel
46,science,53170,science,n,37253,1.92,y,
46,science,53170,scientist,n,19311,1.66,r,Sci
46,science,53170,scientific,j,15091,2.10,y,
46,science,53170,scientifically,r,826,1.85,y,
46,science,53170,unscientific,j,114,1.34,x,
47,low,51858,low,j,51858,1.54,y,
47,low,51858,low,r,1910,1.23,x,
47,low,51858,low,n,465,0.49,x,
47,low,51858,lowly,j,253,1.00,x,
47,low,51858,low,v,13,0.25,r,Edu
48,measure,50305,measure,n,29534,2.16,y,
48,measure,50305,measure,v,19093,2.16,y,
48,measure,50305,measurement,n,9030,2.85,x,
48,measure,50305,measurable,j,845,2.29,y,
48,measure,50305,measured,j,833,1.98,y,
48,measure,50305,measuring,j,281,1.34,x,
48,measure,50305,immeasurably,r,94,1.19,x,
48,measure,50305,immeasurable,j,84,1.10,x,
48,measure,50305,measurably,r,62,1.47,r,Edu
48,measure,50305,unmeasured,j,61,2.85,r,Med
48,measure,50305,measuring,n,13,1.82,x,
49,both,49946,both,d,57485,1.28,x,
49,both,49946,both,r,49946,1.53,y,
50,design,49526,design,n,26112,1.73,y,
50,design,49526,design,v,23346,1.65,y,
50,design,49526,designer,n,3222,0.71,x,
50,design,49526,designed,j,68,1.76,y,
50,design,49526,designing,n,55,1.48,x,
51,society,49476,society,n,47060,1.89,y,
51,society,49476,societal,j,2416,2.64,y,
52,role,49426,role,n,49426,1.81,y,
53,difference,49081,difference,n,49081,1.93,y,
54,tradition,48701,traditional,j,25145,1.88,y,
54,tradition,48701,tradition,n,19091,1.93,y,
54,tradition,48701,traditionally,r,4061,1.74,y,
54,tradition,48701,nontraditional,j,1193,2.36,r,Edu
54,tradition,48701,traditionalist,n,404,1.62,y,
54,tradition,48701,traditionalist,j,198,2.51,x,
